timestamp,open,high,low,close,volume
2021-01-15,1729.0200,1747.6200,1711.7100,1727.6200,1572214
2021-01-14,1748.8700,1767.5499,1726.0700,1730.9200,1460617
2021-01-13,1727.3200,1756.3900,1727.3200,1747.2500,1171590
2021-01-12,1745.3600,1767.9000,1716.3750,1737.4300,1460563
2021-01-11,1777.0200,1784.3800,1752.1400,1756.2900,1740618
2021-01-08,1777.1600,1799.3550,1761.2200,1797.8300,1774226
2021-01-07,1726.7600,1777.8200,1726.7600,1774.3400,2096829
2021-01-06,1700.2550,1743.9650,1696.1014,1722.8800,2329401
2021-01-05,1725.0900,1746.8300,1716.9000,1740.0500,1017962
2021-01-04,1760.0000,1762.4899,1707.1400,1726.1300,1866195
2020-12-31,1737.2700,1757.5000,1736.0900,1752.6400,1053479
2020-12-30,1765.0000,1767.7600,1728.0000,1736.2500,1051308
2020-12-29,1787.2300,1788.4700,1755.1100,1757.7600,986287
2020-12-28,1744.9100,1787.0000,1741.8200,1773.9600,1379642
2020-12-24,1729.0000,1742.4100,1724.3500,1734.1600,465638
2020-12-23,1723.9300,1744.1100,1721.2000,1728.2300,1148684
2020-12-22,1729.3300,1732.6123,1705.7800,1720.2200,1018829
2020-12-21,1709.1300,1737.0000,1694.0000,1734.5600,1698707
2020-12-18,1746.1702,1748.3600,1715.0000,1726.2200,4262837
2020-12-17,1763.9300,1766.7100,1731.1500,1740.5100,1744005
2020-12-16,1769.1100,1769.1100,1749.0600,1757.1900,1233836
2020-12-15,1759.8600,1764.0000,1741.6700,1761.0800,1068292
2020-12-14,1770.7200,1789.8000,1749.1300,1752.2600,1652471
2020-12-11,1760.0000,1777.3100,1752.7400,1774.8000,931431
2020-12-10,1762.6000,1774.9900,1733.5270,1767.6500,1434416
2020-12-09,1810.3600,1828.3700,1762.0001,1777.8600,1586426
2020-12-08,1808.5200,1815.9700,1791.2800,1811.3300,996768
2020-12-07,1815.5500,1829.2900,1803.0400,1817.0300,1114391
2020-12-04,1820.2200,1829.4994,1813.5900,1823.7600,1027242
2020-12-03,1820.5400,1843.8300,1817.0000,1821.8400,1236366
2020-12-02,1795.3600,1832.7400,1785.1695,1824.9700,1471235
2020-12-01,1766.6550,1821.7199,1763.0300,1795.3600,1861965
2020-11-30,1775.6500,1780.3350,1747.8400,1754.4000,1620887
2020-11-27,1764.5400,1797.0100,1764.5400,1787.0200,739507
2020-11-25,1767.8100,1770.3800,1748.3600,1764.1300,979957
2020-11-24,1727.5000,1766.4750,1720.7300,1763.9000,1360436
2020-11-23,1740.2200,1745.9900,1710.1800,1727.5600,1127618
2020-11-20,1762.0000,1768.3625,1735.0000,1736.3800,1385322
2020-11-19,1733.2300,1763.4900,1730.0200,1758.5700,1005340
2020-11-18,1756.6400,1765.0000,1738.5658,1740.6400,1005377
2020-11-17,1767.8600,1777.1400,1759.4900,1761.6600,1066034
2020-11-16,1764.1400,1794.3400,1761.3300,1774.0300,1273393
2020-11-13,1748.0000,1777.1300,1735.9800,1772.2600,1487877
2020-11-12,1742.0000,1764.9800,1737.9700,1742.8200,1324363
2020-11-11,1748.4000,1762.9000,1743.0600,1747.2300,1591906
2020-11-10,1729.7700,1759.3800,1716.1200,1737.7200,2151058
2020-11-09,1795.9800,1816.8900,1757.5450,1761.4200,2672024
2020-11-06,1751.3400,1768.4950,1736.6800,1759.7300,1431084
2020-11-05,1770.4500,1791.8180,1741.0300,1762.5000,1987907
2020-11-04,1705.5803,1770.0300,1703.0000,1745.8500,3567149
2020-11-03,1630.7600,1659.0000,1612.1080,1645.6600,1571641
2020-11-02,1623.5400,1658.2400,1614.2400,1624.3200,2211449
2020-10-30,1667.4400,1681.3150,1601.5700,1616.1100,4996197
2020-10-29,1517.0200,1588.7350,1516.5500,1556.8800,2770343
2020-10-28,1550.0100,1553.8100,1508.4800,1510.8000,2258675
2020-10-27,1588.9319,1602.0000,1576.9900,1598.8800,1295138
2020-10-26,1615.0000,1629.5800,1567.7800,1584.2900,1791317
2020-10-23,1615.0500,1634.1200,1611.9100,1632.9800,1527402
2020-10-22,1585.0000,1613.4200,1577.4800,1606.6600,1525773
2020-10-21,1569.8500,1615.1400,1567.1350,1585.9900,3016053
2020-10-20,1523.1100,1573.8400,1520.5000,1551.0800,2085915
2020-10-19,1575.9300,1583.9250,1522.9200,1529.9500,1486652
2020-10-16,1561.8300,1577.7100,1557.6600,1567.7000,1710325
2020-10-15,1544.5000,1571.3950,1541.1301,1555.4700,1561485
2020-10-14,1574.6000,1583.8500,1545.8950,1563.4400,1659228
2020-10-13,1577.0100,1585.1600,1558.6300,1567.0700,1953609
2020-10-12,1538.0000,1588.4200,1529.3000,1564.5900,2767164
2020-10-09,1492.8600,1511.8500,1487.0000,1510.4500,1648340
